"employee_id","full_name","gender","date_of_birth","hire_date","dept_id","role_id","education","marital_status","age","working_years"
"EMP0362","Ayaan Singh","Male","1980-10-29","2020-05-09","D09","R17","Bachelors","Married","43","4 years 1 mon 24 days"
"EMP0363","Diya Rao","Female","1979-12-26","2017-12-15","D03","R12","Bachelors","Married","44","6 years 6 mons 18 days"
"EMP0364","Yash Nair","Male","1975-02-22","2019-04-30","D01","R02","Bachelors","Married","49","5 years 2 mons 2 days"
"EMP0365","Ira Singh","Female","1989-09-15","2015-03-28","D08","R03","Bachelors","Single","34","9 years 3 mons 5 days"
"EMP0366","Pari Iyer","Female","1982-10-13","2022-01-12","D06","R17","Bachelors","Married","41","2 years 5 mons 21 days"
"EMP0368","Tara Deshmukh","Female","1986-08-17","2015-01-23","D01","R03","MBA","Married","37","9 years 5 mons 10 days"
"EMP0369","Sai Iyer","Male","1977-09-23","2017-05-20","D01","R01","Bachelors","Single","46","7 years 1 mon 13 days"
"EMP0370","Sai Kumar","Male","1979-10-03","2022-05-19","D03","R12","Bachelors","Married","44","2 years 1 mon 14 days"
"EMP0371","Sara Joshi","Female","1982-05-01","2018-07-05","D09","R17","Masters","Married","42","5 years 11 mons 28 days"
"EMP0372","Rahul Iyer","Male","1987-03-17","2018-02-06","D06","R06","MBA","Married","37","6 years 4 mons 24 days"
"EMP0373","Myra Nair","Female","1984-04-15","2019-08-13","D04","R14","Bachelors","Single","40","4 years 10 mons 20 days"
"EMP0374","Amit Rao","Male","1980-03-25","2016-01-30","D03","R13","Masters","Single","44","8 years 5 mons 3 days"
"EMP0375","Pooja Patil","Female","1988-08-27","2022-01-18","D08","R20","Bachelors","Married","35","2 years 5 mons 15 days"
"EMP0376","Sai Mehta","Male","1995-05-27","2018-08-22","D03","R07","Masters","Married","29","5 years 10 mons 11 days"
"EMP0417","Arjun Patel","Male","1987-12-01","2015-11-09","D04","R14","Masters","Married","36","8 years 7 mons 23 days"
"EMP0418","Yash Rao","Male","1995-09-15","2023-04-27","D07","R02","Bachelors","Married","28","1 year 2 mons 5 days"
"EMP0419","Kabir Deshmukh","Male","1983-09-15","2022-08-25","D06","R17","Masters","Married","40","1 year 10 mons 8 days"
"EMP0420","Yash Rao","Male","1977-06-30","2019-10-31","D05","R07","Bachelors","Married","47","4 years 8 mons 2 days"
"EMP0421","Rahul Patel","Male","1988-09-12","2016-01-21","D01","R02","Bachelors","Single","35","8 years 5 mons 12 days"
"EMP0422","Rahul Reddy","Male","1994-09-24","2022-10-11","D09","R17","Bachelors","Married","29","1 year 8 mons 22 days"
"EMP0439","Sara Patel","Female","1975-07-09","2018-05-28","D03","R13","Bachelors","Married","48","6 years 1 mon 5 days"
"EMP0440","Karan Singh","Male","1985-06-27","2016-02-10","D02","R11","Bachelors","Single","39","8 years 4 mons 21 days"
"EMP0441","Kabir Gupta","Male","1982-07-26","2018-06-26","D01","R02","MBA","Single","41","6 years 6 days"
"EMP0442","Avni Rao","Female","1997-07-26","2015-12-14","D07","R18","Bachelors","Married","26","8 years 6 mons 19 days"
"EMP0443","Aditya Joshi","Male","1985-03-25","2023-04-04","D02","R09","Bachelors","Single","39","1 year 2 mons 28 days"
"EMP0444","Ayaan Verma","Male","2003-04-29","2017-04-22","D02","R10","MBA","Single","21","7 years 2 mons 10 days"
"EMP0445","Riya Joshi","Female","1980-06-21","2019-07-02","D05","R16","Bachelors","Single","44","5 years"
"EMP0446","Aarav Reddy","Male","1981-12-02","2019-06-23","D01","R06","Bachelors","Married","42","5 years 9 days"
"EMP0447","Tara Mehta","Female","1984-10-23","2017-04-11","D08","R20","Masters","Single","39","7 years 2 mons 21 days"
"EMP0448","Diya Gupta","Female","1977-12-20","2015-09-19","D09","R17","Bachelors","Single","46","8 years 9 mons 13 days"
"EMP0449","Ishaan Iyer","Male","1999-07-23","2021-03-12","D10","R06","Bachelors","Married","24","3 years 3 mons 21 days"
"EMP0450","Avni Khan","Female","1980-03-01","2018-11-25","D02","R09","Masters","Married","44","5 years 7 mons 7 days"
"EMP0451","Ananya Gupta","Female","1996-01-15","2019-10-18","D06","R17","Bachelors","Single","28","4 years 8 mons 15 days"
"EMP0452","Priya Choudhary","Female","1980-11-20","2016-12-04","D04","R14","Masters","Married","43","7 years 6 mons 29 days"
